"","","Ind Code","Ind Name","Region","Country","City","Frequency","Period","Actual","Previous","Consensus","Revision","Date","Time","Revise Date"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Dec 2023","-","-","-","F","Jan 24, 2024","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Nov 2023","-","-","-","F","Dec 13, 2023","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Oct 2023","-","-","-","F","Nov 22, 2023","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Sep 2023","-","-","-","F","Oct 18, 2023","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Aug 2023","-","110.80","-","F","Sep 20, 2023","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Jul 2023","110.80","109.80","-","F","Aug 23, 2023","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Jun 2023","109.80","109.60","-","F","Jul 19, 2023","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 May 2023","109.60","109.40","-","F","Jun 21, 2023","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Apr 2023","109.40","109.00","-","F","May 24, 2023","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Mar 2023","109.00","107.90","-","F","Apr 19, 2023","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","28 Feb 2023","107.90","107.10","-","F","Mar 22, 2023","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Jan 2023","107.10","107.20","-","F","Feb 15, 2023","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Dec 2022","107.20","106.80","-","F","Jan 18, 2023","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Nov 2022","106.80","106.50","-","F","Dec 14, 2022","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Oct 2022","106.50","106.10","-","F","Nov 23, 2022","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Sep 2022","106.10","106.00","-","F","Oct 19, 2022","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Aug 2022","106.00","105.80","-","F","Sep 21, 2022","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Jul 2022 (R)","105.80","104.20","-","F","Aug 24, 2022","08:00","Aug 24, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Jun 2022 (R)","104.20","103.10","-","F","Jul 20, 2022","08:00","Aug 24, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 May 2022","103.10","102.40","-","F","Jun 22, 2022","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Apr 2022","102.40","101.80","-","F","May 18, 2022","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Mar 2022","101.80","100.80","-","F","Apr 20, 2022","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","28 Feb 2022","100.80","100.20","-","F","Mar 23, 2022","08:00","-"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Jan 2022 (R)","100.20","100.00","-","F","Feb 16, 2022","08:00","Mar 23, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Dec 2021 (R)","100.00","99.40","-","F","Jan 19, 2022","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Nov 2021 (R)","99.40","99.00","-","F","Dec 15, 2021","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Oct 2021 (R)","99.00","98.70","-","F","Nov 17, 2021","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Sep 2021 (R)","98.70","98.50","-","F","Oct 20, 2021","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Aug 2021 (R)","98.50","98.10","-","F","Sep 22, 2021","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Jul 2021 (R)","98.10","97.00","-","F","Aug 18, 2021","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Jun 2021 (R)","97.00","96.80","-","F","Jul 21, 2021","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 May 2021 (R)","96.80","96.70","-","F","Jun 23, 2021","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Apr 2021 (R)","96.70","96.10","-","F","May 19, 2021","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Mar 2021 (R)","96.10","95.40","-","F","Apr 21, 2021","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","28 Feb 2021 (R)","95.40","94.80","-","F","Mar 24, 2021","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Jan 2021 (R)","94.80","94.40","-","F","Feb 17, 2021","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Dec 2020 (R)","94.40","94.30","-","F","Jan 20, 2021","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Nov 2020 (R)","94.30","94.30","-","F","Dec 09, 2020","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Oct 2020 (R)","94.30","94.00","-","F","Nov 25, 2020","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Sep 2020 (R)","94.00","93.90","-","F","Oct 28, 2020","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Aug 2020 (R)","93.90","93.70","-","F","Sep 30, 2020","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Jul 2020 (R)","93.70","92.50","-","F","Aug 26, 2020","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Jun 2020 (R)","92.50","92.00","-","F","Jul 29, 2020","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 May 2020 (R)","92.00","92.60","-","F","May 31, 2020","00:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Apr 2020 (R)","92.60","93.10","-","F","Apr 30, 2020","00:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Mar 2020 (R)","93.10","92.80","-","F","Mar 31, 2020","00:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","29 Feb 2020 (R)","92.80","91.90","-","F","Mar 18, 2020","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Jan 2020 (R)","91.90","91.60","-","F","Feb 19, 2020","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Dec 2019 (R)","91.60","91.40","-","F","Jan 22, 2020","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","30 Nov 2019 (R)","91.40","91.30","-","F","Dec 11, 2019","08:00","Feb 16, 2022"
"","","SAFZAXX05Ma005","Consumer Price Index","Southern Africa","South Africa","","Monthly","31 Oct 2019 (R)","91.30","91.30","-","F","Nov 20, 2019","08:00","Feb 16, 2022"
