"","","Ind Code","Ind Name","Region","Country","City","Frequency","Period","Actual","Previous","Consensus","Revision","Date","Time","Revise Date"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","30 Apr 2023","-8.10 %","-4.50 %","-","F","Jun 01, 2023","11:00","-"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","31 Mar 2023","-4.50 %","-8.70 %","-","F","May 04, 2023","11:00","-"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","28 Feb 2023","-8.70 %","-7.30 %","-","F","Apr 06, 2023","11:00","-"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","31 Jan 2023","-7.30 %","-7.60 %","-","F","Mar 02, 2023","11:00","-"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","31 Dec 2022","-7.60 %","-2.30 %","-","F","Feb 02, 2023","11:00","-"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","30 Nov 2022","-2.30 %","-2.30 %","-","F","Jan 12, 2023","11:00","-"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","31 Oct 2022","-2.30 %","-7.50 %","-","F","Dec 01, 2022","11:00","-"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","30 Sep 2022","-7.50 %","-1.00 %","-","F","Nov 03, 2022","11:00","-"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","31 Aug 2022","-1.00 %","-6.30 %","-","F","Oct 06, 2022","11:00","-"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","31 Jul 2022 (R)","-6.30 %","-1.10 %","-","F","Sep 01, 2022","11:00","Oct 06, 2022"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","30 Jun 2022","-1.10 %","-2.50 %","-","F","Aug 04, 2022","11:00","-"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","31 May 2022","-2.50 %","-2.00 %","-","F","Jul 07, 2022","11:00","-"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","30 Apr 2022","-2.00 %","-0.60 %","-","F","Jun 02, 2022","11:00","-"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","31 Mar 2022","-0.60 %","-0.10 %","-","F","May 05, 2022","11:00","-"
"","","SAFZAXX02Ma007","Electricity Consumption (YoY)","Southern Africa","South Africa","","Monthly","28 Feb 2022 (R)","-0.10 %","-0.20 %","-","F","Apr 07, 2022","11:00","May 05, 2022"
