"","","Ind Code","Ind Name","Region","Country","City","Frequency","Period","Actual","Previous","Consensus","Revision","Date","Time","Revise Date"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Aug 2023","49.70","47.30","-","F","Sep 01, 2023","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Jul 2023","47.30","47.60","-","F","Aug 01, 2023","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Jun 2023","47.60","49.20","-","F","Jul 03, 2023","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 May 2023","49.20","49.80","-","F","Jun 01, 2023","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Apr 2023","49.80","48.10","-","F","May 02, 2023","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Mar 2023","48.10","48.80","-","F","Apr 03, 2023","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","28 Feb 2023","48.80","53.00","-","F","Mar 01, 2023","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Jan 2023","53.00","53.10","-","F","Feb 01, 2023","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Dec 2022","53.10","52.60","-","F","Jan 06, 2023","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Nov 2022","52.60","50.00","-","F","Dec 01, 2022","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Oct 2022","50.00","48.20","-","F","Nov 01, 2022","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Sep 2022","48.20","52.10","-","F","Oct 03, 2022","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Aug 2022","52.10","47.60","-","F","Sep 01, 2022","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Jul 2022","47.60","52.20","-","F","Aug 01, 2022","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Jun 2022","52.20","54.80","-","F","Jul 01, 2022","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 May 2022","54.80","50.70","-","F","Jun 01, 2022","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Apr 2022","50.70","60.00","-","F","May 03, 2022","00:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Mar 2022","60.00","58.60","-","F","Apr 01, 2022","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","28 Feb 2022","58.60","57.10","-","F","Mar 01, 2022","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Jan 2022","57.10","54.10","-","F","Feb 01, 2022","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Dec 2021","54.10","57.20","-","F","Jan 07, 2022","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Nov 2021","57.20","53.60","-","F","Dec 01, 2021","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Oct 2021","53.60","54.70","-","F","Nov 02, 2021","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Sep 2021 (R)","54.70","57.90","-","F","Oct 01, 2021","09:00","Nov 02, 2021"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Aug 2021","57.90","43.50","-","F","Sep 01, 2021","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Jul 2021","43.50","57.40","-","F","Aug 02, 2021","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Jun 2021","57.40","57.80","-","F","Jul 01, 2021","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 May 2021","57.80","56.20","-","F","Jun 01, 2021","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Apr 2021","56.20","57.40","-","F","May 03, 2021","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Mar 2021","57.40","53.00","-","F","Apr 01, 2021","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","28 Feb 2021","53.00","50.90","-","F","Mar 01, 2021","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Jan 2021","50.90","50.30","-","F","Feb 01, 2021","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Dec 2020","50.30","52.60","-","F","Jan 08, 2021","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Nov 2020","52.60","60.90","-","F","Dec 01, 2020","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Oct 2020","60.90","58.50","-","F","Nov 02, 2020","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Sep 2020","58.50","57.30","-","F","Oct 01, 2020","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Aug 2020","57.30","51.20","-","F","Sep 01, 2020","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Jul 2020","51.20","53.90","-","F","Aug 03, 2020","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Jun 2020","53.90","50.20","-","F","Jul 01, 2020","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 May 2020","50.20","46.10","-","F","Jun 01, 2020","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Apr 2020","46.10","48.10","-","F","May 04, 2020","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Mar 2020","48.10","44.30","-","F","Apr 01, 2020","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","29 Feb 2020","44.30","45.20","-","F","Mar 02, 2020","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Jan 2020","45.20","47.10","-","F","Feb 03, 2020","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Dec 2019","47.10","47.70","-","F","Jan 08, 2020","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Nov 2019","47.70","48.10","-","F","Dec 02, 2019","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Oct 2019","48.10","45.10","-","F","Nov 01, 2019","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Sep 2019 (R)","45.10","45.70","-","F","Oct 01, 2019","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Aug 2019","45.70","52.10","51.50","F","Sep 02, 2019","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 Jul 2019","52.10","46.20","46.50","F","Aug 01, 2019","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Jun 2019","46.20","45.40","46.00","F","Jul 01, 2019","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","31 May 2019","45.40","47.20","48.00","F","Jun 03, 2019","09:00","-"
"","","SAFZAXX02Ma015","PMI Manufacturing","Southern Africa","South Africa","","Monthly","30 Apr 2019","47.20","45.00","45.80","F","May 02, 2019","09:00","-"
