"","","Ind Code","Ind Name","Region","Country","City","Frequency","Period","Actual","Previous","Consensus","Revision","Date","Time","Revise Date"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Jul 2023","127.80","127.50","-","F","Aug 31, 2023","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","30 Jun 2023","127.50","127.90","-","F","Jul 27, 2023","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 May 2023","127.90","127.20","-","F","Jun 29, 2023","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","30 Apr 2023","127.20","127.20","-","F","May 25, 2023","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Mar 2023","127.20","125.90","-","F","Apr 26, 2023","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","28 Feb 2023","125.90","125.10","-","F","Mar 30, 2023","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Jan 2023","125.10","125.80","-","F","Feb 23, 2023","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Dec 2022","125.80","125.80","-","F","Jan 26, 2023","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","30 Nov 2022","125.80","125.20","-","F","Dec 15, 2022","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Oct 2022","125.20","124.70","-","F","Nov 24, 2022","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","30 Sep 2022","124.70","123.80","-","F","Oct 27, 2022","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Aug 2022","123.80","124.40","-","F","Sep 29, 2022","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Jul 2022","124.40","121.70","-","F","Aug 25, 2022","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","30 Jun 2022","121.70","119.20","-","F","Jul 28, 2022","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 May 2022","119.20","117.10","-","F","Jun 30, 2022","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","30 Apr 2022","117.10","115.00","-","F","May 26, 2022","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Mar 2022","115.00","112.20","-","F","Apr 28, 2022","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","28 Feb 2022","112.20","111.00","-","F","Mar 31, 2022","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Jan 2022","111.00","110.80","-","F","Feb 24, 2022","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Dec 2021","110.80","109.40","-","F","Jan 27, 2022","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","30 Nov 2021","109.40","107.90","-","F","Dec 15, 2021","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Oct 2021","107.90","107.20","-","F","Nov 25, 2021","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","30 Sep 2021","107.20","106.20","-","F","Oct 28, 2021","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Aug 2021","106.20","105.40","-","F","Sep 30, 2021","11:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Jul 2021","105.40","104.70","-","F","Aug 26, 2021","11:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","30 Jun 2021","104.70","103.90","-","F","Jul 29, 2021","09:30","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 May 2021","103.90","103.50","-","F","May 31, 2021","00:00","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","30 Apr 2021","103.50","102.80","-","F","Apr 30, 2021","00:00","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Mar 2021","102.80","101.50","-","F","Mar 31, 2021","00:00","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","28 Feb 2021","101.50","100.80","-","F","Feb 28, 2021","00:00","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Jan 2021","100.80","100.00","-","F","Jan 31, 2021","00:00","-"
"","","SAFZAXX02Ma181","Producer Price Index","Southern Africa","South Africa","","Monthly","31 Dec 2020","100.00","99.80","-","F","Dec 31, 2020","00:00","-"
