"","","Ind Code","Ind Name","Region","Country","City","Frequency","Period","Actual","Previous","Consensus","Revision","Date","Time","Revise Date"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Nov 2022","ZAR19997.00 mn","ZAR-6209.00 mn","-","F","Dec 30, 2022","06:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Oct 2022","ZAR-6209.00 mn","ZAR57821.00 mn","-","F","Nov 29, 2022","06:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Sep 2022","ZAR57821.00 mn","ZAR61351.00 mn","-","F","Oct 31, 2022","06:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Aug 2022","ZAR61351.00 mn","ZAR14229.00 mn","-","F","Sep 29, 2022","06:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jul 2022 (R)","ZAR14229.00 mn","ZAR68740.00 mn","-","F","Aug 30, 2022","06:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Jun 2022 (R)","ZAR68740.00 mn","ZAR4269.00 mn","-","F","Jul 29, 2022","06:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 May 2022 (R)","ZAR4269.00 mn","ZAR-1070.00 mn","-","F","Jun 30, 2022","06:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Apr 2022 (R)","ZAR-1070.00 mn","ZAR51438.00 mn","-","F","May 31, 2022","06:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Mar 2022 (R)","ZAR51438.00 mn","ZAR36921.00 mn","-","F","Apr 29, 2022","06:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","28 Feb 2022 (R)","ZAR36921.00 mn","ZAR15342.00 mn","-","F","Mar 30, 2022","06:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jan 2022 (R)","ZAR15342.00 mn","ZAR16220.00 mn","-","F","Feb 28, 2022","06:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Dec 2021 (R)","ZAR16220.00 mn","ZAR57200.00 mn","-","F","Jan 31, 2022","06:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Nov 2021 (R)","ZAR57200.00 mn","ZAR9272.00 mn","-","F","Dec 31, 2021","06:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Oct 2021 (R)","ZAR9044.00 mn","ZAR-16537.00 mn","-","F","Nov 30, 2021","06:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Sep 2021 (R)","ZAR-16537.00 mn","ZAR27099.00 mn","-","F","Oct 29, 2021","06:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Apr 2023","ZAR-5971.00 mn","ZAR9527.00 mn","-","F","Sep 30, 2021","06:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Mar 2023","ZAR9527.00 mn","ZAR34292.00 mn","-","F","Sep 30, 2021","06:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 May 2023","ZAR-5056.00 mn","ZAR-5971.00 mn","-","F","Sep 30, 2021","06:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Dec 2022","ZAR-5879.00 mn","ZAR19997.00 mn","-","F","Sep 30, 2021","06:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jan 2023","ZAR45116.00 mn","ZAR-5879.00 mn","-","F","Sep 30, 2021","06:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Aug 2021 (R)","ZAR27099.00 mn","ZAR31517.00 mn","-","F","Sep 30, 2021","06:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","28 Feb 2023","ZAR34292.00 mn","ZAR45116.00 mn","-","F","Sep 30, 2021","06:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jul 2021 (R)","ZAR31517.00 mn","ZAR-18142.00 mn","-","F","Jul 31, 2021","06:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Jun 2021 (R)","ZAR-18142.00 mn","ZAR24005.00 mn","-","F","Jun 30, 2021","00:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 May 2021 (R)","ZAR24005.00 mn","ZAR-1555.00 mn","-","F","May 31, 2021","00:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Apr 2021 (R)","ZAR-1555.00 mn","ZAR-41229.00 mn","-","F","Apr 30, 2021","00:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Mar 2021 (R)","ZAR-41229.00 mn","ZAR17151.00 mn","-","F","Mar 31, 2021","00:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","28 Feb 2021 (R)","ZAR17151.00 mn","ZAR-10132.00 mn","-","F","Feb 28, 2021","00:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jan 2021 (R)","ZAR-10132.00 mn","ZAR13936.00 mn","-","F","Jan 31, 2021","00:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Dec 2020 (R)","ZAR13936.00 mn","ZAR16090.00 mn","-","F","Dec 31, 2020","00:00","Sep 30, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Nov 2020 (R)","ZAR16090.00 mn","ZAR21025.00 mn","-","F","Nov 30, 2020","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Oct 2020 (R)","ZAR21025.00 mn","ZAR-31433.00 mn","-","F","Oct 31, 2020","00:00","Jul 01, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Sep 2020 (R)","ZAR-31433.00 mn","ZAR5728.00 mn","-","F","Sep 30, 2020","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Aug 2020 (R)","ZAR5728.00 mn","ZAR-12771.00 mn","-","F","Aug 31, 2020","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jul 2020 (R)","ZAR-12771.00 mn","ZAR-13425.00 mn","-","F","Jul 31, 2020","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Jun 2020 (R)","ZAR-13425.00 mn","ZAR-30516.00 mn","-","F","Jun 30, 2020","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 May 2020 (R)","ZAR-30516.00 mn","ZAR5542.00 mn","-","F","May 31, 2020","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Apr 2020 (R)","ZAR5542.00 mn","ZAR125760.00 mn","-","F","Apr 30, 2020","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Mar 2020 (R)","ZAR125760.00 mn","ZAR36364.00 mn","-","F","Mar 31, 2020","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","29 Feb 2020 (R)","ZAR36364.00 mn","ZAR1309.00 mn","-","F","Feb 29, 2020","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jan 2020 (R)","ZAR1309.00 mn","ZAR6795.00 mn","-","F","Jan 31, 2020","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Dec 2019 (R)","ZAR6795.00 mn","ZAR10591.00 mn","-","F","Dec 31, 2019","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Nov 2019 (R)","ZAR10591.00 mn","ZAR15767.00 mn","-","F","Nov 30, 2019","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Oct 2019 (R)","ZAR15767.00 mn","ZAR-2551.00 mn","-","F","Oct 31, 2019","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Sep 2019","ZAR-2551.00 mn","ZAR51697.00 mn","-","F","Sep 30, 2019","00:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Aug 2019","ZAR51697.00 mn","ZAR6011.00 mn","-","F","Aug 31, 2019","00:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jul 2019","ZAR6011.00 mn","ZAR9479.00 mn","-","F","Jul 31, 2019","00:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Jun 2019","ZAR9479.00 mn","ZAR1248.00 mn","-","F","Jun 30, 2019","00:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 May 2019","ZAR1248.00 mn","ZAR27473.00 mn","-","F","May 31, 2019","00:00","-"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Apr 2019 (R)","ZAR27473.00 mn","ZAR31048.00 mn","-","F","Apr 30, 2019","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Mar 2019 (R)","ZAR31048.00 mn","ZAR28974.00 mn","-","F","Mar 31, 2019","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","28 Feb 2019 (R)","ZAR28974.00 mn","ZAR34279.00 mn","-","F","Feb 28, 2019","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jan 2019 (R)","ZAR34279.00 mn","ZAR26001.00 mn","-","F","Jan 31, 2019","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Dec 2018 (R)","ZAR26001.00 mn","ZAR31280.00 mn","-","F","Dec 31, 2018","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Nov 2018 (R)","ZAR31280.00 mn","ZAR-21308.00 mn","-","F","Nov 30, 2018","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Oct 2018 (R)","ZAR-21308.00 mn","ZAR20264.00 mn","-","F","Oct 31, 2018","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Sep 2018 (R)","ZAR20264.00 mn","ZAR59209.00 mn","-","F","Sep 30, 2018","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Aug 2018 (R)","ZAR59209.00 mn","ZAR-4355.00 mn","-","F","Aug 31, 2018","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jul 2018 (R)","ZAR-4355.00 mn","ZAR34266.00 mn","-","F","Jul 31, 2018","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Jun 2018 (R)","ZAR34266.00 mn","ZAR10699.00 mn","-","F","Jun 30, 2018","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 May 2018 (R)","ZAR10699.00 mn","ZAR-37258.00 mn","-","F","May 31, 2018","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Apr 2018 (R)","ZAR-37258.00 mn","ZAR29062.00 mn","-","F","Apr 30, 2018","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Mar 2018 (R)","ZAR29062.00 mn","ZAR43193.00 mn","-","F","Mar 31, 2018","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","28 Feb 2018 (R)","ZAR43193.00 mn","ZAR-12336.00 mn","-","F","Feb 28, 2018","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jan 2018 (R)","ZAR-12336.00 mn","ZAR38069.00 mn","-","F","Jan 31, 2018","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Dec 2017 (R)","ZAR38069.00 mn","ZAR37965.00 mn","-","F","Dec 31, 2017","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Nov 2017 (R)","ZAR37965.00 mn","ZAR-5291.00 mn","-","F","Nov 30, 2017","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Oct 2017 (R)","ZAR-5291.00 mn","ZAR33576.00 mn","-","F","Oct 31, 2017","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Sep 2017 (R)","ZAR33576.00 mn","ZAR12840.00 mn","-","F","Sep 30, 2017","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Aug 2017 (R)","ZAR12840.00 mn","ZAR5124.00 mn","-","F","Aug 31, 2017","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jul 2017 (R)","ZAR5124.00 mn","ZAR-3319.00 mn","-","F","Jul 31, 2017","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Jun 2017 (R)","ZAR-3319.00 mn","ZAR27372.00 mn","-","F","Jun 30, 2017","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 May 2017 (R)","ZAR27372.00 mn","ZAR-6788.00 mn","-","F","May 31, 2017","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Apr 2017 (R)","ZAR-6788.00 mn","ZAR20454.00 mn","-","F","Apr 30, 2017","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Mar 2017 (R)","ZAR20454.00 mn","ZAR34889.00 mn","-","F","Mar 31, 2017","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","28 Feb 2017 (R)","ZAR34889.00 mn","ZAR23390.00 mn","-","F","Feb 28, 2017","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jan 2017 (R)","ZAR23390.00 mn","ZAR28787.00 mn","-","F","Jan 31, 2017","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Dec 2016 (R)","ZAR28787.00 mn","ZAR3790.00 mn","-","F","Dec 31, 2016","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Nov 2016 (R)","ZAR3790.00 mn","ZAR-2877.00 mn","-","F","Nov 30, 2016","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Oct 2016 (R)","ZAR-2877.00 mn","ZAR46410.00 mn","-","F","Oct 31, 2016","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Sep 2016 (R)","ZAR46410.00 mn","ZAR4038.00 mn","-","F","Sep 30, 2016","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Aug 2016 (R)","ZAR4038.00 mn","ZAR17987.00 mn","-","F","Aug 31, 2016","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jul 2016 (R)","ZAR17987.00 mn","ZAR11846.00 mn","-","F","Jul 31, 2016","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Jun 2016 (R)","ZAR11846.00 mn","ZAR2917.00 mn","-","F","Jun 30, 2016","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 May 2016 (R)","ZAR2917.00 mn","ZAR-33781.00 mn","-","F","May 31, 2016","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Apr 2016 (R)","ZAR-33781.00 mn","ZAR28910.00 mn","-","F","Apr 30, 2016","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Mar 2016 (R)","ZAR28910.00 mn","ZAR39880.00 mn","-","F","Mar 31, 2016","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","29 Feb 2016 (R)","ZAR39880.00 mn","ZAR9984.00 mn","-","F","Feb 29, 2016","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jan 2016 (R)","ZAR9984.00 mn","ZAR12707.00 mn","-","F","Jan 31, 2016","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Dec 2015 (R)","ZAR12707.00 mn","ZAR53080.00 mn","-","F","Dec 31, 2015","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Nov 2015 (R)","ZAR53080.00 mn","ZAR21981.00 mn","-","F","Nov 30, 2015","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Oct 2015 (R)","ZAR21981.00 mn","ZAR14597.00 mn","-","F","Oct 31, 2015","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Sep 2015 (R)","ZAR14597.00 mn","ZAR21158.00 mn","-","F","Sep 30, 2015","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Aug 2015 (R)","ZAR21158.00 mn","ZAR29326.00 mn","-","F","Aug 31, 2015","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jul 2015 (R)","ZAR29326.00 mn","ZAR-6241.00 mn","-","F","Jul 31, 2015","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Jun 2015 (R)","ZAR-6241.00 mn","ZAR15495.00 mn","-","F","Jun 30, 2015","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 May 2015 (R)","ZAR15495.00 mn","ZAR14152.00 mn","-","F","May 31, 2015","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Apr 2015 (R)","ZAR14152.00 mn","ZAR33774.00 mn","-","F","Apr 30, 2015","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Mar 2015 (R)","ZAR33774.00 mn","ZAR24042.00 mn","-","F","Mar 31, 2015","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","28 Feb 2015 (R)","ZAR24042.00 mn","ZAR51569.00 mn","-","F","Feb 28, 2015","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jan 2015 (R)","ZAR51569.00 mn","ZAR-4804.00 mn","-","F","Jan 31, 2015","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Dec 2014 (R)","ZAR-4804.00 mn","ZAR31621.00 mn","-","F","Dec 31, 2014","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Nov 2014 (R)","ZAR31621.00 mn","ZAR7498.00 mn","-","F","Nov 30, 2014","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Oct 2014 (R)","ZAR7498.00 mn","ZAR19283.00 mn","-","F","Oct 31, 2014","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Sep 2014 (R)","ZAR19283.00 mn","ZAR13940.00 mn","-","F","Sep 30, 2014","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Aug 2014 (R)","ZAR13940.00 mn","ZAR18678.00 mn","-","F","Aug 31, 2014","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Jul 2014 (R)","ZAR18678.00 mn","ZAR26683.00 mn","-","F","Jul 31, 2014","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Jun 2014 (R)","ZAR26683.00 mn","ZAR12619.00 mn","-","F","Jun 30, 2014","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 May 2014 (R)","ZAR12619.00 mn","ZAR-2221.00 mn","-","F","May 31, 2014","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","30 Apr 2014 (R)","ZAR-2221.00 mn","ZAR28822.00 mn","-","F","Apr 30, 2014","00:00","May 31, 2021"
"","","SAFZAXX04Ma008","Claims on the Private Sector","Southern Africa","South Africa","","Monthly","31 Mar 2014 (R)","ZAR28822.00 mn","ZAR33472.00 mn","-","F","Mar 31, 2014","00:00","May 31, 2021"
