"","","Ind Code","Ind Name","Region","Country","City","Frequency","Period","Actual","Previous","Consensus","Revision","Date","Time","Revise Date"
"","","SAFZAXX04Ma004","M0 Money Supply","Southern Africa","South Africa","","Monthly","31 Jul 2023","ZAR395326.00 mn","ZAR387274.00 mn","-","F","Aug 30, 2023","06:00","-"
"","","SAFZAXX04Ma004","M0 Money Supply","Southern Africa","South Africa","","Monthly","30 Jun 2023","ZAR387274.00 mn","ZAR403751.00 mn","-","F","Jul 31, 2023","06:00","-"
"","","SAFZAXX04Ma004","M0 Money Supply","Southern Africa","South Africa","","Monthly","31 May 2023","ZAR403751.00 mn","ZAR389709.00 mn","-","F","Jun 30, 2023","06:00","-"
"","","SAFZAXX04Ma004","M0 Money Supply","Southern Africa","South Africa","","Monthly","30 Apr 2023","ZAR389709.00 mn","ZAR391788.00 mn","-","F","May 30, 2023","06:00","-"
"","","SAFZAXX04Ma004","M0 Money Supply","Southern Africa","South Africa","","Monthly","31 Mar 2023","ZAR391788.00 mn","ZAR361051.00 mn","-","F","Apr 28, 2023","06:00","-"
"","","SAFZAXX04Ma004","M0 Money Supply","Southern Africa","South Africa","","Monthly","28 Feb 2023","ZAR361051.00 mn","ZAR360704.00 mn","-","F","Mar 30, 2023","06:00","-"
"","","SAFZAXX04Ma004","M0 Money Supply","Southern Africa","South Africa","","Monthly","31 Jan 2023","ZAR360704.00 mn","ZAR363350.00 mn","-","F","Feb 28, 2023","06:00","-"
"","","SAFZAXX04Ma004","M0 Money Supply","Southern Africa","South Africa","","Monthly","31 Dec 2022","ZAR363350.00 mn","ZAR363585.00 mn","-","F","Jan 31, 2023","06:00","-"
"","","SAFZAXX04Ma004","M0 Money Supply","Southern Africa","South Africa","","Monthly","30 Nov 2022","ZAR363585.00 mn","ZAR353228.00 mn","-","F","Dec 30, 2022","06:00","-"
"","","SAFZAXX04Ma004","M0 Money Supply","Southern Africa","South Africa","","Monthly","31 Oct 2022","ZAR353228.00 mn","ZAR353308.00 mn","-","F","Nov 29, 2022","06:00","-"
"","","SAFZAXX04Ma004","M0 Money Supply","Southern Africa","South Africa","","Monthly","30 Sep 2022","ZAR353308.00 mn","ZAR349666.00 mn","-","F","Oct 31, 2022","06:00","-"
"","","SAFZAXX04Ma004","M0 Money Supply","Southern Africa","South Africa","","Monthly","31 Aug 2022","ZAR349666.00 mn","ZAR309638.00 mn","-","F","Sep 29, 2022","06:00","-"
