"","","Ind Code","Ind Name","Region","Country","City","Frequency","Period","Actual","Previous","Consensus","Revision","Date","Time","Revise Date"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Oct 2022 (R)","ZAR34860.00 mn","ZAR28805.00 mn","-","F","Oct 31, 2022","06:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","30 Sep 2022 (R)","ZAR26597.00 mn","ZAR3843.00 mn","-","F","Sep 30, 2022","06:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Aug 2022 (R)","ZAR3843.00 mn","ZAR-18112.00 mn","-","F","Aug 31, 2022","06:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Jul 2022 (R)","ZAR-18112.00 mn","ZAR17937.00 mn","-","F","Jul 31, 2022","06:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","30 Jun 2022 (R)","ZAR17937.00 mn","ZAR-25262.00 mn","-","F","Jun 30, 2022","06:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Mar 2022 (R)","ZAR-53534.00 mn","ZAR-13130.00 mn","-","F","Mar 31, 2022","00:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 May 2023","ZAR163661.00 mn","ZAR71993.00 mn","-","F","Sep 30, 2021","06:00","-"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","30 Apr 2023","ZAR71993.00 mn","ZAR-54173.00 mn","-","F","Sep 30, 2021","06:00","-"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","30 Sep 2021 (R)","ZAR1956.00 mn","ZAR102412.00 mn","-","F","Sep 30, 2021","06:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Aug 2021 (R)","ZAR102412.00 mn","ZAR5932.00 mn","-","F","Sep 30, 2021","06:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Mar 2023","ZAR-54173.00 mn","ZAR95897.00 mn","-","F","Sep 30, 2021","06:00","-"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Dec 2021 (R)","ZAR-14608.00 mn","ZAR64928.00 mn","-","F","Sep 30, 2021","06:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","30 Nov 2021 (R)","ZAR64928.00 mn","ZAR-33704.00 mn","-","F","Sep 30, 2021","06:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Oct 2021 (R)","ZAR-33704.00 mn","ZAR1956.00 mn","-","F","Sep 30, 2021","06:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","28 Feb 2022 (R)","ZAR-13130.00 mn","ZAR-61760.00 mn","-","F","Sep 30, 2021","06:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Jan 2022 (R)","ZAR-61760.00 mn","ZAR-14608.00 mn","-","F","Sep 30, 2021","06:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 May 2022 (R)","ZAR-25262.00 mn","ZAR98608.00 mn","-","F","Sep 30, 2021","06:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","30 Apr 2022 (R)","ZAR98608.00 mn","ZAR-53534.00 mn","-","F","Sep 30, 2021","06:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Jan 2023","ZAR24981.00 mn","ZAR1993.00 mn","-","F","Sep 30, 2021","06:00","-"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","30 Nov 2022","ZAR-81695.00 mn","ZAR34860.00 mn","-","F","Sep 30, 2021","06:00","-"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","28 Feb 2023","ZAR95897.00 mn","ZAR24981.00 mn","-","F","Sep 30, 2021","06:00","-"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Dec 2022","ZAR1993.00 mn","ZAR-81695.00 mn","-","F","Sep 30, 2021","06:00","-"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Jul 2021 (R)","ZAR5932.00 mn","ZAR57494.00 mn","-","F","Jul 31, 2021","08:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","30 Jun 2021 (R)","ZAR57494.00 mn","ZAR-927.00 mn","-","F","Jun 30, 2021","00:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 May 2021 (R)","ZAR-927.00 mn","ZAR-28848.00 mn","-","F","May 31, 2021","00:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","30 Apr 2021 (R)","ZAR-28848.00 mn","ZAR-20649.00 mn","-","F","Apr 30, 2021","00:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Mar 2021 (R)","ZAR-20649.00 mn","ZAR-3980.00 mn","-","F","Mar 31, 2021","00:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","28 Feb 2021 (R)","ZAR-3980.00 mn","ZAR33728.00 mn","-","F","Feb 28, 2021","00:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Jan 2021 (R)","ZAR33728.00 mn","ZAR-19134.00 mn","-","F","Jan 31, 2021","00:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Dec 2020 (R)","ZAR-19134.00 mn","ZAR-27048.00 mn","-","F","Dec 31, 2020","00:00","Sep 30, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","30 Nov 2020 (R)","ZAR-27048.00 mn","ZAR-28818.00 mn","-","F","Nov 30, 2020","00:00","May 31, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Oct 2020 (R)","ZAR-28818.00 mn","ZAR-24338.00 mn","-","F","Oct 31, 2020","00:00","May 31, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","30 Sep 2020 (R)","ZAR-24338.00 mn","ZAR-4299.00 mn","-","F","Sep 30, 2020","00:00","May 31, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Aug 2020 (R)","ZAR-4299.00 mn","ZAR91060.00 mn","-","F","Aug 31, 2020","00:00","May 31, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","31 Jul 2020 (R)","ZAR91060.00 mn","ZAR31414.00 mn","-","F","Jul 31, 2020","00:00","May 31, 2021"
"","","SAFZAXX14Ma004","Net Foreign Assets","Southern Africa","South Africa","","Monthly","30 Jun 2020 (R)","ZAR31414.00 mn","ZAR-18242.00 mn","-","F","Jun 30, 2020","00:00","May 31, 2021"
