"","","Ind Code","Ind Name","Region","Country","City","Frequency","Period","Actual","Previous","Consensus","Revision","Date","Time","Revise Date"
"","","SAFZAXX06Ma001","Net Gold & Forex Reserve","Southern Africa","South Africa","","Monthly","31 Dec 2023","-","-","-","F","Jan 07, 2024","06:00","-"
"","","SAFZAXX06Ma001","Net Gold & Forex Reserve","Southern Africa","South Africa","","Monthly","30 Nov 2023","-","-","-","F","Dec 07, 2023","06:00","-"
"","","SAFZAXX06Ma001","Net Gold & Forex Reserve","Southern Africa","South Africa","","Monthly","31 Oct 2023","-","-","-","F","Nov 07, 2023","06:00","-"
"","","SAFZAXX06Ma001","Net Gold & Forex Reserve","Southern Africa","South Africa","","Monthly","30 Sep 2023","-","USD55.44 bn","-","F","Oct 06, 2023","06:00","-"
"","","SAFZAXX06Ma001","Net Gold & Forex Reserve","Southern Africa","South Africa","","Monthly","31 Aug 2023","USD55.44 bn","USD55.62 bn","-","F","Sep 07, 2023","06:00","-"
"","","SAFZAXX06Ma001","Net Gold & Forex Reserve","Southern Africa","South Africa","","Monthly","31 Jul 2023","USD55.62 bn","USD54.93 bn","USD55.18 bn","F","Aug 07, 2023","06:00","-"
"","","SAFZAXX06Ma001","Net Gold & Forex Reserve","Southern Africa","South Africa","","Monthly","30 Jun 2023","USD54.93 bn","USD55.04 bn","-","F","Jul 07, 2023","06:00","-"
"","","SAFZAXX06Ma001","Net Gold & Forex Reserve","Southern Africa","South Africa","","Monthly","31 May 2023","USD55.04 bn","USD55.37 bn","-","F","Jun 07, 2023","06:00","-"
"","","SAFZAXX06Ma001","Net Gold & Forex Reserve","Southern Africa","South Africa","","Monthly","30 Apr 2023","USD55.37 bn","USD55.23 bn","-","F","May 08, 2023","06:00","-"
"","","SAFZAXX06Ma001","Net Gold & Forex Reserve","Southern Africa","South Africa","","Monthly","31 Mar 2023","USD55.23 bn","USD54.08 bn","-","F","Apr 11, 2023","06:00","-"
