"","","Ind Code","Ind Name","Region","Country","City","Frequency","Period","Actual","Previous","Consensus","Revision","Date","Time","Revise Date"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 Dec 2023","-","-","-","F","Feb 15, 2024","09:30","-"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","30 Nov 2023","-","-","-","F","Jan 18, 2024","09:30","-"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 Oct 2023","-","-","-","F","Dec 13, 2023","09:30","-"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","30 Sep 2023","-","-","-","F","Nov 16, 2023","09:30","-"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 Aug 2023","-","-","-","F","Oct 19, 2023","09:30","-"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 Jul 2023","-","ZAR18207.00 mn","-","F","Sep 21, 2023","09:30","-"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","30 Jun 2023","ZAR18207.00 mn","ZAR18026.00 mn","-","F","Aug 17, 2023","09:30","-"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 May 2023","ZAR18026.00 mn","ZAR16655.00 mn","-","F","Jul 20, 2023","09:30","-"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","30 Apr 2023","ZAR16655.00 mn","ZAR19035.00 mn","-","F","Jun 15, 2023","09:30","-"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 Mar 2023","ZAR19035.00 mn","ZAR17861.00 mn","-","F","May 18, 2023","09:30","-"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","28 Feb 2023","ZAR17861.00 mn","ZAR16303.00 mn","-","F","Apr 20, 2023","11:30","-"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 Jan 2023","ZAR16303.00 mn","ZAR18094.00 mn","-","F","Mar 16, 2023","09:00","-"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 Dec 2022","ZAR18094.00 mn","ZAR19449.00 mn","-","F","Feb 16, 2023","09:00","-"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","30 Nov 2022","ZAR19449.00 mn","ZAR17981.00 mn","-","F","Jan 19, 2023","09:00","-"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 Oct 2022 (R)","ZAR17981.00 mn","ZAR18776.00 mn","-","F","Dec 14, 2022","09:30","Jan 20, 2023"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","30 Sep 2022 (R)","ZAR18776.00 mn","ZAR18616.00 mn","-","F","Nov 17, 2022","09:30","Dec 14, 2022"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 Aug 2022 (R)","ZAR18616.00 mn","ZAR15571.00 mn","-","F","Oct 20, 2022","09:30","Nov 18, 2022"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 Jul 2022 (R)","ZAR15571.00 mn","ZAR15351.00 mn","-","F","Sep 15, 2022","09:30","Oct 27, 2022"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","30 Jun 2022 (R)","ZAR15351.00 mn","ZAR15861.00 mn","-","F","Aug 18, 2022","09:30","Sep 15, 2022"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 May 2022 (R)","ZAR15861.00 mn","ZAR15811.00 mn","-","F","Jul 14, 2022","12:30","Sep 15, 2022"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","30 Apr 2022 (R)","ZAR15811.00 mn","ZAR18157.00 mn","-","F","Jun 15, 2022","09:30","Sep 15, 2022"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 Mar 2022 (R)","ZAR18157.00 mn","ZAR16329.00 mn","-","F","May 19, 2022","09:30","Sep 15, 2022"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","28 Feb 2022 (R)","ZAR16329.00 mn","ZAR15158.00 mn","-","F","Apr 14, 2022","12:30","Sep 15, 2022"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 Jan 2022 (R)","ZAR15158.00 mn","ZAR13995.00 mn","-","F","Mar 17, 2022","09:30","Sep 15, 2022"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 Dec 2021 (R)","ZAR13995.00 mn","ZAR15737.00 mn","-","F","Feb 17, 2022","09:30","Sep 15, 2022"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","30 Nov 2021 (R)","ZAR15737.00 mn","ZAR14601.00 mn","-","F","Nov 30, 2021","00:00","Sep 15, 2022"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","31 Oct 2021 (R)","ZAR14601.00 mn","ZAR15346.00 mn","-","F","Oct 31, 2021","00:00","Sep 15, 2022"
"","","SAFZAXX02Ma117","New Vehicle Sales","Southern Africa","South Africa","","Monthly","30 Sep 2021 (R)","ZAR15346.00 mn","ZAR15219.00 mn","-","F","Sep 30, 2021","00:00","Sep 15, 2022"
