"","","Ind Code","Ind Name","Region","Country","City","Frequency","Period","Actual","Previous","Consensus","Revision","Date","Time","Revise Date"
"","","SAFZAXX08Qa001","Real GDP at Market Prices","Southern Africa","South Africa","","Quarterly","31 Dec 2023","-","-","-","F","Mar 05, 2024","09:30","-"
"","","SAFZAXX08Qa001","Real GDP at Market Prices","Southern Africa","South Africa","","Quarterly","30 Sep 2023","-","-","-","F","Dec 05, 2023","09:30","-"
"","","SAFZAXX08Qa001","Real GDP at Market Prices","Southern Africa","South Africa","","Quarterly","30 Jun 2023","-","ZAR1125330.86 mn","-","F","Sep 05, 2023","09:30","-"
"","","SAFZAXX08Qa001","Real GDP at Market Prices","Southern Africa","South Africa","","Quarterly","31 Mar 2023","ZAR1125330.86 mn","ZAR1157031.76 mn","-","F","Jun 30, 2023","09:30","-"
"","","SAFZAXX08Qa001","Real GDP at Market Prices","Southern Africa","South Africa","","Quarterly","31 Dec 2022","ZAR1157031.76 mn","ZAR1170533.72 mn","-","F","Mar 07, 2023","09:30","-"
"","","SAFZAXX08Qa001","Real GDP at Market Prices","Southern Africa","South Africa","","Quarterly","30 Sep 2022","ZAR1170533.72 mn","ZAR1143850.46 mn","-","F","Sep 30, 2022","00:00","-"
"","","SAFZAXX08Qa001","Real GDP at Market Prices","Southern Africa","South Africa","","Quarterly","30 Jun 2022","ZAR1143850.46 mn","ZAR1121494.75 mn","-","F","Sep 06, 2022","09:30","-"
"","","SAFZAXX08Qa001","Real GDP at Market Prices","Southern Africa","South Africa","","Quarterly","31 Mar 2022 (R)","ZAR1121494.75 mn","ZAR1146428.00 mn","-","F","Mar 31, 2022","00:00","Sep 06, 2022"
"","","SAFZAXX08Qa001","Real GDP at Market Prices","Southern Africa","South Africa","","Quarterly","31 Dec 2021 (R)","ZAR1146428.00 mn","ZAR1124279.84 mn","-","F","Mar 08, 2022","09:30","Jun 08, 2022"
"","","SAFZAXX08Qa001","Real GDP at Market Prices","Southern Africa","South Africa","","Quarterly","30 Sep 2021 (R)","ZAR1124279.84 mn","ZAR1141655.15 mn","-","F","Dec 07, 2021","09:30","Jun 08, 2022"
"","","SAFZAXX08Qa001","Real GDP at Market Prices","Southern Africa","South Africa","","Quarterly","30 Jun 2021 (R)","ZAR1141655.15 mn","ZAR1091929.30 mn","-","F","Sep 07, 2021","09:30","Jun 08, 2022"
"","","SAFZAXX08Qa001","Real GDP at Market Prices","Southern Africa","South Africa","","Quarterly","31 Mar 2021 (R)","ZAR1091929.30 mn","ZAR1127276.41 mn","-","F","Jun 08, 2021","09:30","Jun 08, 2022"
"","","SAFZAXX08Qa001","Real GDP at Market Prices","Southern Africa","South Africa","","Quarterly","31 Dec 2020 (R)","ZAR1127276.41 mn","ZAR1091729.77 mn","-","F","Mar 09, 2021","09:30","Jun 08, 2022"
"","","SAFZAXX08Qa001","Real GDP at Market Prices","Southern Africa","South Africa","","Quarterly","30 Sep 2020 (R)","ZAR1091729.77 mn","ZAR955753.18 mn","-","F","Dec 08, 2020","09:30","Jun 08, 2022"
