"","","Ind Code","Ind Name","Region","Country","City","Frequency","Period","Actual","Previous","Consensus","Revision","Date","Time","Revise Date"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 May 2023","ZAR109605.00 mn","ZAR104889.00 mn","-","F","Jul 19, 2023","11:00","-"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","30 Apr 2023","ZAR104889.00 mn","ZAR107518.00 mn","-","F","Apr 30, 2023","00:00","-"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Mar 2023","ZAR107518.00 mn","ZAR104241.00 mn","-","F","Mar 31, 2023","00:00","-"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Jan 2023","ZAR101666.00 mn","ZAR142766.00 mn","-","F","Mar 15, 2023","11:00","-"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","28 Feb 2023","ZAR104241.00 mn","ZAR101666.00 mn","-","F","Feb 28, 2023","00:00","-"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Dec 2022","ZAR142766.00 mn","ZAR119347.00 mn","-","F","Feb 16, 2023","09:00","-"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","30 Nov 2022","ZAR119347.00 mn","ZAR102976.00 mn","-","F","Jan 18, 2023","10:30","-"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Oct 2022","ZAR102976.00 mn","ZAR101256.00 mn","-","F","Dec 14, 2022","11:00","-"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","30 Sep 2022 (R)","ZAR101256.00 mn","ZAR101447.00 mn","-","F","Nov 16, 2022","11:00","Dec 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Aug 2022 (R)","ZAR101447.00 mn","ZAR98339.00 mn","-","F","Oct 19, 2022","11:00","Nov 17, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Jul 2022 (R)","ZAR98339.00 mn","ZAR99932.00 mn","-","F","Sep 14, 2022","11:00","Oct 20, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","30 Jun 2022 (R)","ZAR99932.00 mn","ZAR103440.00 mn","-","F","Aug 17, 2022","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 May 2022 (R)","ZAR103440.00 mn","ZAR98502.00 mn","-","F","Jul 13, 2022","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","30 Apr 2022 (R)","ZAR98502.00 mn","ZAR100766.00 mn","-","F","Jun 15, 2022","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Mar 2022 (R)","ZAR100766.00 mn","ZAR96984.00 mn","-","F","May 18, 2022","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","28 Feb 2022 (R)","ZAR96984.00 mn","ZAR95475.00 mn","-","F","Apr 13, 2022","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Jan 2022 (R)","ZAR95475.00 mn","ZAR134399.00 mn","-","F","Mar 16, 2022","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Dec 2021 (R)","ZAR134399.00 mn","ZAR111162.00 mn","-","F","Feb 16, 2022","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","30 Nov 2021 (R)","ZAR111162.00 mn","ZAR97010.00 mn","-","F","Jan 19, 2022","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Oct 2021 (R)","ZAR97010.00 mn","ZAR95179.00 mn","-","F","Dec 08, 2021","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","30 Sep 2021 (R)","ZAR95179.00 mn","ZAR93522.00 mn","-","F","Nov 17, 2021","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Aug 2021 (R)","ZAR93522.00 mn","ZAR85576.00 mn","-","F","Oct 13, 2021","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Jul 2021 (R)","ZAR85576.00 mn","ZAR97168.00 mn","-","F","Sep 15, 2021","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","30 Jun 2021 (R)","ZAR97168.00 mn","ZAR98588.00 mn","-","F","Aug 18, 2021","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 May 2021 (R)","ZAR98588.00 mn","ZAR89902.00 mn","-","F","Jul 14, 2021","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","30 Apr 2021 (R)","ZAR89902.00 mn","ZAR93763.00 mn","-","F","Jun 17, 2021","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Mar 2021 (R)","ZAR93763.00 mn","ZAR94074.00 mn","-","F","May 19, 2021","11:00","Feb 22, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","28 Feb 2021 (R)","ZAR94074.00 mn","ZAR85323.00 mn","-","F","Apr 14, 2021","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Jan 2021 (R)","ZAR85323.00 mn","ZAR126378.00 mn","-","F","Mar 17, 2021","11:00","Sep 14, 2022"
"","","SAFZAXX02Ma111","Retail Sales - Total","Southern Africa","South Africa","","Monthly","31 Dec 2020 (R)","ZAR126378.00 mn","ZAR105378.00 mn","-","F","Feb 17, 2021","11:00","Sep 14, 2022"
