"","","Ind Code","Ind Name","Region","Country","City","Frequency","Period","Actual","Previous","Consensus","Revision","Date","Time","Revise Date"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Oct 2023","-","-","-","F","Dec 07, 2023","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Sep 2023","-","-","-","F","Nov 02, 2023","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Aug 2023","-","19844.00 GWH","-","F","Oct 05, 2023","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Jul 2023","19844.00 GWH","19732.00 GWH","-","F","Sep 07, 2023","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Jun 2023","19732.00 GWH","18807.00 GWH","-","F","Aug 03, 2023","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 May 2023","18807.00 GWH","17690.00 GWH","-","F","Jul 06, 2023","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Apr 2023","17690.00 GWH","19107.00 GWH","-","F","Jun 01, 2023","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Mar 2023","19107.00 GWH","16709.00 GWH","-","F","May 04, 2023","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","28 Feb 2023","16709.00 GWH","18024.00 GWH","-","F","Apr 06, 2023","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Jan 2023","18024.00 GWH","17524.00 GWH","-","F","Mar 02, 2023","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Dec 2022 (R)","17524.00 GWH","19069.00 GWH","-","F","Feb 02, 2023","11:00","Mar 02, 2023"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Nov 2022 (R)","19053.00 GWH","19464.00 GWH","-","F","Jan 12, 2023","11:00","Mar 02, 2023"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Oct 2022 (R)","19470.00 GWH","18496.00 GWH","-","F","Dec 01, 2022","11:00","Mar 02, 2023"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Sep 2022 (R)","18496.00 GWH","20948.00 GWH","-","F","Nov 03, 2022","11:00","Dec 01, 2022"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Aug 2022 (R)","20948.00 GWH","20549.00 GWH","-","F","Oct 06, 2022","11:00","Oct 06, 2022"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Jul 2022 (R)","20549.00 GWH","20485.00 GWH","-","F","Sep 01, 2022","11:00","Sep 01, 2022"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Jun 2022 (R)","20485.00 GWH","20606.00 GWH","-","F","Aug 04, 2022","11:00","Aug 04, 2022"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 May 2022 (R)","20606.00 GWH","19338.00 GWH","-","F","Jul 07, 2022","11:00","Aug 04, 2022"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Apr 2022","19338.00 GWH","20240.00 GWH","-","F","Jun 02, 2022","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Mar 2022","20240.00 GWH","18494.00 GWH","-","F","May 05, 2022","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","28 Feb 2022 (R)","18494.00 GWH","19582.00 GWH","-","F","Apr 07, 2022","11:00","May 06, 2022"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Jan 2022","19582.00 GWH","19111.00 GWH","-","F","Mar 03, 2022","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Dec 2021","19111.00 GWH","19412.00 GWH","-","F","Feb 03, 2022","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Nov 2021","19412.00 GWH","20253.00 GWH","-","F","Jan 13, 2022","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Oct 2021","20253.00 GWH","20137.00 GWH","-","F","Dec 02, 2021","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Sep 2021","20137.00 GWH","21397.00 GWH","-","F","Nov 04, 2021","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Aug 2021","21397.00 GWH","22258.00 GWH","-","F","Oct 07, 2021","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Jul 2021 (R)","22258.00 GWH","21347.00 GWH","-","F","Sep 02, 2021","11:00","Oct 08, 2021"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Jun 2021","21347.00 GWH","21505.00 GWH","-","F","Aug 05, 2021","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 May 2021 (R)","21505.00 GWH","20098.00 GWH","-","F","Jul 01, 2021","11:00","Aug 05, 2021"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Apr 2021","20098.00 GWH","20466.00 GWH","-","F","Jun 03, 2021","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Mar 2021","20466.00 GWH","18566.00 GWH","-","F","May 06, 2021","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","28 Feb 2021","18566.00 GWH","19772.00 GWH","-","F","Apr 01, 2021","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Jan 2021","19772.00 GWH","19839.00 GWH","-","F","Mar 04, 2021","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Dec 2020","19839.00 GWH","20150.00 GWH","-","F","Feb 04, 2021","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Nov 2020","20150.00 GWH","20977.00 GWH","-","F","Jan 14, 2021","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Oct 2020","20977.00 GWH","20143.00 GWH","-","F","Dec 03, 2020","11:00","-"
